GKZ	Gebiet	Wahlberechtigte	StimmenAbgegeben	StimmenGueltig	StimmenUngueltig	SPÖ	ÖVP	FPÖ	GRÜNE	NEOS	PILZ	GILT	FLÖ	KPÖ	WEIßE	SLP	EUAUS	M	CPÖ	NBZ	ODP
10618	Zemendorf-Stöttera	992	781	779	2	247	343	141	6	20	13	9	0	0	0	0	0	0	0	0	0
10619	Krensdorf	488	416	408	8	137	153	97	5	11	4	1	0	0	0	0	0	0	0	0	0
10699	Wahlkarten - Mattersburg	0	2508	2492	16	988	786	383	57	115	118	15	9	14	7	0	0	0	0	0	0
10700	Neusiedl am See	45034	37889	37527	362	11858	12216	9944	777	1201	1078	232	37	134	50	0	0	0	0	0	0
10701	Andau	1937	1589	1574	15	595	473	453	12	17	15	2	2	2	3	0	0	0	0	0	0
10702	Apetlon	1542	1220	1208	12	376	473	303	10	20	14	6	1	3	2	0	0	0	0	0	0
10703	Bruckneudorf	2278	1658	1645	13	585	329	545	33	69	51	25	0	4	4	0	0	0	0	0	0
10704	Deutsch Jahrndorf	448	369	364	5	133	107	106	1	5	7	1	0	1	3	0	0	0	0	0	0
10705	Frauenkirchen	2363	1752	1731	21	621	517	456	27	54	33	13	0	8	2	0	0	0	0	0	0
10706	Gattendorf	944	750	744	6	245	232	219	4	16	14	4	2	5	3	0	0	0	0	0	0
10707	Gols	3076	2372	2350	22	743	629	716	75	75	68	27	3	7	7	0	0	0	0	0	0
10708	Halbturn	1575	1276	1256	20	300	544	306	30	28	27	7	1	11	2	0	0	0	0	0	0
10709	Illmitz	2050	1665	1650	15	622	573	363	13	41	32	2	0	3	1	0	0	0	0	0	0
10710	Jois	1233	946	940	6	272	346	254	7	21	30	2	3	5	0	0	0	0	0	0	0
10711	Kittsee	1488	1117	1103	14	341	391	300	13	24	29	4	0	0	1	0	0	0	0	0	0
10712	Mönchhof	1825	1389	1373	16	345	537	409	17	36	20	6	0	3	0	0	0	0	0	0	0
10713	Neusiedl am See	6003	4312	4273	39	1130	1480	997	149	267	185	27	7	22	9	0	0	0	0	0	0
10714	Nickelsdorf	1251	988	977	11	355	254	276	28	13	37	5	0	8	1	0	0	0	0	0	0
10715	Pama	856	700	697	3	261	289	117	3	9	13	2	0	3	0	0	0	0	0	0	0
10716	Pamhagen	1412	1037	1026	11	301	428	237	8	25	10	11	0	4	2	0	0	0	0	0	0
