GKZ_NEU	PG_NEU	GKZ_ALT	PG_ALT
62256	Stubenberg	62256	Stubenberg
62262	Wenigzell	62262	Wenigzell
62264	Bad Waltersdorf	62203	Bad Waltersdorf
62264	Bad Waltersdorf	62227	Limbach bei Neudau (Teilung)
62264	Bad Waltersdorf	62250	Sebersdorf
62265	Dechantskirchen	62207	Dechantskirchen
62265	Dechantskirchen	62248	Schlag bei Thalberg (Teilung)
62266	Feistritztal	62204	Blaindorf
62266	Feistritztal	61718	Hirnsdorf
62266	Feistritztal	62224	Kaibing
62266	Feistritztal	62243	Sankt Johann bei Herberstein
62266	Feistritztal	62251	Siegersdorf bei Herberstein
62267	Fürstenfeld	62201	Altenmarkt bei Fürstenfeld
62267	Fürstenfeld	62212	Fürstenfeld
62267	Fürstenfeld	62258	Übersbach
62268	Grafendorf bei Hartberg	62213	Grafendorf bei Hartberg
62268	Grafendorf bei Hartberg	62254	Stambach
62269	Großwilfersdorf	62217	Großwilfersdorf
62269	Großwilfersdorf	62218	Hainersdorf
62270	Hartl	62215	Großhart
62270	Hartl	62221	Hartl
62270	Hartl	62257	Tiefenbach bei Kaindorf
62271	Ilz	62223	Ilz
62271	Ilz	62230	Nestelbach im Ilztal
62272	Kaindorf	62208	Dienersdorf
62272	Kaindorf	62222	Hofkirchen bei Hartberg
62272	Kaindorf	62225	Kaindorf
62273	Loipersdorf bei Fürstenfeld	62228	Loipersdorf bei Fürstenfeld
62273	Loipersdorf bei Fürstenfeld	62255	Stein
62274	Neudau	62227	Limbach bei Neudau (Teilung)
62274	Neudau	62231	Neudau
62275	Pöllau	62234	Pöllau
62275	Pöllau	62237	Rabenwald
62275	Pöllau	62241	Saifen-Boden
62275	Pöllau	62249	Schönegg bei Pöllau
62275	Pöllau	62253	Sonnhofen
62276	Rohr bei Hartberg	62239	Rohr bei Hartberg
62276	Rohr bei Hartberg	62263	Wörth an der Lafnitz
62277	Rohrbach an der Lafnitz	62210	Eichberg
62277	Rohrbach an der Lafnitz	62240	Rohrbach an der Lafnitz
62277	Rohrbach an der Lafnitz	62248	Schlag bei Thalberg (Teilung)
62278	Vorau	62236	Puchegg
62278	Vorau	62238	Riegersberg
62278	Vorau	62246	Schachen bei Vorau
62278	Vorau	62259	Vorau
62278	Vorau	62260	Vornholz
62279	Waldbach-Mönichwald	62229	Mönichwald
62279	Waldbach-Mönichwald	62261	Waldbach
61001	Allerheiligen bei Wildon	61001	Allerheiligen bei Wildon
61002	Arnfels	61002	Arnfels
61007	Empersdorf	61007	Empersdorf
61008	Gabersdorf	61008	Gabersdorf
61012	Gralla	61012	Gralla
61013	Großklein	61013	Großklein
61016	Heimschuh	61016	Heimschuh
61017	Hengsberg	61017	Hengsberg
61019	Kitzeck im Sausal	61019	Kitzeck im Sausal
61020	Lang	61020	Lang
61021	Lebring-Sankt Margarethen	61021	Lebring-Sankt Margarethen
61024	Oberhaag	61024	Oberhaag
61027	Ragnitz	61027	Ragnitz
61030	Sankt Andrä-Höch	61030	Sankt Andrä-Höch
61032	Sankt Johann im Saggautal	61032	Sankt Johann im Saggautal
61033	Sankt Nikolai im Sausal	61033	Sankt Nikolai im Sausal
61043	Tillmitsch	61043	Tillmitsch
61045	Wagna	61045	Wagna
61049	Ehrenhausen an der Weinstraße	61003	Berghausen
61049	Ehrenhausen an der Weinstraße	61005	Ehrenhausen
61049	Ehrenhausen an der Weinstraße	61028	Ratsch an der Weinstraße
61049	Ehrenhausen an der Weinstraße	61029	Retznei
61050	Gamlitz	61009	Gamlitz
61050	Gamlitz	61042	Sulztal an der Weinstraße
61051	Gleinstätten	61011	Gleinstätten
61051	Gleinstätten	61026	Pistorf
61052	Heiligenkreuz am Waasen	61015	Heiligenkreuz am Waasen
61052	Heiligenkreuz am Waasen	61035	Sankt Ulrich am Waasen
61053	Leibnitz	61018	Kaindorf an der Sulm
61053	Leibnitz	61022	Leibnitz
61053	Leibnitz	61038	Seggauberg
61054	Leutschach an der Weinstraße	61006	Eichberg-Trautenburg
61054	Leutschach an der Weinstraße	61010	Glanz an der Weinstraße
61054	Leutschach an der Weinstraße	61023	Leutschach
61054	Leutschach an der Weinstraße	61037	Schloßberg
61055	Sankt Georgen an der Stiefing	61040	Stocking (Teilung)
61055	Sankt Georgen an der Stiefing	61031	Sankt Georgen an der Stiefing
61056	Sankt Veit in der Südsteiermark	61034	Sankt Nikolai ob Draßling
61056	Sankt Veit in der Südsteiermark	61036	Sankt Veit am Vogau
61056	Sankt Veit in der Südsteiermark	62373	Weinburg am Saßbach
61057	Schwarzautal	61004	Breitenfeld am Tannenriegel
61057	Schwarzautal	61014	Hainsdorf im Schwarzautal
61057	Schwarzautal	61048	Wolfsberg im Schwarzautal
61057	Schwarzautal	62344	Mitterlabill
61057	Schwarzautal	62364	Schwarzau im Schwarzautal
61058	Straß-Spielfeld	61025	Obervogau
61058	Straß-Spielfeld	61039	Spielfeld
