NUTS1;NUTS2;NUTS3;LAU2_CODE_2016;LAU2_CODE_2017;LAU2_NAME
AT1;AT12;AT126;30846;30846;Parbasdorf
AT1;AT12;AT126;30848;30848;Prottes
AT1;AT12;AT126;30849;30849;Raasdorf
AT1;AT12;AT125;30850;30850;Ringelsdorf-Niederabsdorf
AT1;AT12;AT126;30852;30852;Schönkirchen-Reyersdorf
AT1;AT12;AT126;30854;30854;Spannberg
AT1;AT12;AT126;30856;30856;Strasshof an der Nordbahn
AT1;AT12;AT125;30857;30857;Sulz im Weinviertel
AT1;AT12;AT126;30858;30858;Untersiebenbrunn
AT1;AT12;AT126;30859;30859;Velm-Götzendorf
AT1;AT12;AT126;30860;30860;Weikendorf
AT1;AT12;AT125;30863;30863;Zistersdorf
AT1;AT12;AT126;30865;30865;Weiden an der March
AT1;AT12;AT124;30902;30902;Amaliendorf-Aalfang
AT1;AT12;AT124;30903;30903;Brand-Nagelberg
AT1;AT12;AT124;30904;30904;Eggern
AT1;AT12;AT124;30906;30906;Eisgarn
AT1;AT12;AT124;30908;30908;Gmünd
AT1;AT12;AT124;30909;30909;Großdietmanns
AT1;AT12;AT124;30910;30910;Bad Großpertholz
AT1;AT12;AT124;30912;30912;Großschönau
AT1;AT12;AT124;30913;30913;Moorbad Harbach
AT1;AT12;AT124;30915;30915;Haugschlag
AT1;AT12;AT124;30916;30916;Heidenreichstein
AT1;AT12;AT124;30917;30917;Hirschbach
AT1;AT12;AT124;30920;30920;Hoheneich
AT1;AT12;AT124;30921;30921;Kirchberg am Walde
AT1;AT12;AT124;30925;30925;Litschau
AT1;AT12;AT124;30929;30929;Reingers
AT1;AT12;AT124;30932;30932;St. Martin
AT1;AT12;AT124;30935;30935;Schrems
AT1;AT12;AT124;30939;30939;Unserfrau-Altweitra
AT1;AT12;AT124;30940;30940;Waldenstein
AT1;AT12;AT124;30942;30942;Weitra
AT1;AT12;AT125;31001;31001;Alberndorf im Pulkautal
AT1;AT12;AT125;31008;31008;Göllersdorf
AT1;AT12;AT125;31009;31009;Grabern
AT1;AT12;AT125;31014;31014;Guntersdorf
AT1;AT12;AT125;31015;31015;Hadres
AT1;AT12;AT125;31016;31016;Hardegg
AT1;AT12;AT125;31018;31018;Haugsdorf
AT1;AT12;AT125;31019;31019;Heldenberg
AT1;AT12;AT125;31021;31021;Hohenwarth-Mühlbach a. M.
AT1;AT12;AT125;31022;31022;Hollabrunn
AT1;AT12;AT125;31025;31025;Mailberg
AT1;AT12;AT125;31026;31026;Maissau
AT1;AT12;AT125;31028;31028;Nappersdorf-Kammersdorf
AT1;AT12;AT125;31033;31033;Pernersdorf
AT1;AT12;AT125;31035;31035;Pulkau
AT1;AT12;AT125;31036;31036;Ravelsbach
AT1;AT12;AT125;31037;31037;Retz
AT1;AT12;AT125;31038;31038;Retzbach
AT1;AT12;AT125;31041;31041;Schrattenthal
AT1;AT12;AT125;31042;31042;Seefeld-Kadolz
AT1;AT12;AT125;31043;31043;Sitzendorf an der Schmida
AT1;AT12;AT125;31051;31051;Wullersdorf
AT1;AT12;AT125;31052;31052;Zellerndorf
AT1;AT12;AT125;31053;31053;Ziersdorf
AT1;AT12;AT124;31101;31101;Altenburg
AT1;AT12;AT124;31102;31102;Brunn an der Wild
AT1;AT12;AT124;31103;31103;Burgschleinitz-Kühnring
AT1;AT12;AT124;31104;31104;Drosendorf-Zissersdorf
AT1;AT12;AT124;31105;31105;Eggenburg
AT1;AT12;AT124;31106;31106;Gars am Kamp
AT1;AT12;AT124;31107;31107;Geras
AT1;AT12;AT124;31109;31109;Horn
AT1;AT12;AT124;31110;31110;Irnfritz-Messern
AT1;AT12;AT124;31111;31111;Japons
AT1;AT12;AT124;31113;31113;Langau
AT1;AT12;AT124;31114;31114;Meiseldorf
AT1;AT12;AT124;31117;31117;Pernegg
AT1;AT12;AT124;31119;31119;Röhrenbach
AT1;AT12;AT124;31120;31120;Röschitz
AT1;AT12;AT124;31121;31121;Rosenburg-Mold
AT1;AT12;AT124;31123;31123;St. Bernhard-Frauenhofen
AT1;AT12;AT124;31124;31124;Sigmundsherberg
AT1;AT12;AT124;31129;31129;Weitersfeld
AT1;AT12;AT124;31130;31130;Straning-Grafenberg
AT1;AT12;AT126;31201;31201;Bisamberg
AT1;AT12;AT126;31202;31202;Enzersfeld im Weinviertel
AT1;AT12;AT126;31203;31203;Ernstbrunn
AT1;AT12;AT126;31204;31204;Großmugl
AT1;AT12;AT126;31205;31205;Großrußbach
AT1;AT12;AT126;31206;31206;Hagenbrunn
AT1;AT12;AT126;31207;31207;Harmannsdorf
AT1;AT12;AT126;31208;31208;Hausleiten
AT1;AT12;AT126;31213;31213;Korneuburg
AT1;AT12;AT126;31214;31214;Langenzersdorf
AT1;AT12;AT126;31215;31215;Leitzersdorf
AT1;AT12;AT126;31216;31216;Leobendorf
AT1;AT12;AT126;31224;31224;Rußbach
AT1;AT12;AT126;31226;31226;Sierndorf
AT1;AT12;AT126;31227;31227;Spillern
AT1;AT12;AT126;31228;31228;Stetteldorf am Wagram
AT1;AT12;AT126;31229;31229;Stetten
AT1;AT12;AT126;31230;31230;Stockerau
AT1;AT12;AT126;31234;31234;Niederhollabrunn
AT1;AT12;AT124;31301;31301;Aggsbach
AT1;AT12;AT124;31302;31302;Albrechtsberg an der Großen Krems
AT1;AT12;AT124;31303;31303;Bergern im Dunkelsteinerwald
AT1;AT12;AT124;31304;31304;Dürnstein
AT1;AT12;AT124;31308;31308;Grafenegg
AT1;AT12;AT124;31309;31309;Furth bei Göttweig
AT1;AT12;AT124;31310;31310;Gedersdorf
AT1;AT12;AT124;31311;31311;Gföhl
AT1;AT12;AT124;31315;31315;Hadersdorf-Kammern
AT1;AT12;AT124;31319;31319;Jaidhof
AT1;AT12;AT124;31321;31321;Krumau am Kamp
AT1;AT12;AT124;31322;31322;Langenlois
AT1;AT12;AT124;31323;31323;Lengenfeld
AT1;AT12;AT124;31324;31324;Lichtenau im Waldviertel
AT1;AT12;AT124;31326;31326;Maria Laach am Jauerling
AT1;AT12;AT124;31327;31327;Mautern an der Donau
AT1;AT12;AT124;31330;31330;Mühldorf
AT1;AT12;AT124;31333;31333;Paudorf
AT1;AT12;AT124;31336;31336;Rastenfeld
AT1;AT12;AT124;31337;31337;Rohrendorf bei Krems
AT1;AT12;AT124;31338;31338;Rossatz-Arnsdorf
AT1;AT12;AT124;31340;31340;St. Leonhard am Hornerwald
AT1;AT12;AT124;31343;31343;Senftenberg
AT1;AT12;AT124;31344;31344;Spitz
AT1;AT12;AT124;31346;31346;Straß im Straßertale
AT1;AT12;AT124;31347;31347;Stratzing
AT1;AT12;AT124;31350;31350;Weinzierl am Walde
AT1;AT12;AT124;31351;31351;Weißenkirchen in der Wachau
AT1;AT12;AT124;31355;31355;Schönberg am Kamp
AT1;AT12;AT124;31356;31356;Droß
AT1;AT12;AT122;31401;31401;Annaberg
AT1;AT12;AT122;31402;31402;Eschenau
AT1;AT12;AT122;31403;31403;Hainfeld
AT1;AT12;AT122;31404;31404;Hohenberg
AT1;AT12;AT122;31405;31405;Kaumberg
AT1;AT12;AT122;31406;31406;Kleinzell
AT1;AT12;AT122;31407;31407;Lilienfeld
AT1;AT12;AT122;31408;31408;Mitterbach am Erlaufsee
AT1;AT12;AT122;31409;31409;Ramsau
AT1;AT12;AT122;31410;31410;Rohrbach an der Gölsen
AT1;AT12;AT122;31411;31411;St. Aegyd am Neuwalde
AT1;AT12;AT122;31412;31412;St. Veit an der Gölsen
AT1;AT12;AT122;31413;31413;Traisen
AT1;AT12;AT122;31414;31414;Türnitz
AT1;AT12;AT121;31502;31502;Artstetten-Pöbring
AT1;AT12;AT121;31503;31503;Bergland
AT1;AT12;AT121;31504;31504;Bischofstetten
AT1;AT12;AT121;31505;31505;Blindenmarkt
AT1;AT12;AT121;31506;31506;Dorfstetten
AT1;AT12;AT121;31507;31507;Dunkelsteinerwald
AT1;AT12;AT121;31508;31508;Erlauf
AT1;AT12;AT121;31509;31509;Golling an der Erlauf
AT1;AT12;AT121;31511;31511;Hofamt Priel
AT1;AT12;AT121;31513;31513;Hürm
AT1;AT12;AT121;31514;31514;Kilb
AT1;AT12;AT121;31515;31515;Kirnberg an der Mank
AT1;AT12;AT121;31516;31516;Klein-Pöchlarn
AT1;AT12;AT121;31517;31517;Krummnußbaum
AT1;AT12;AT121;31519;31519;Leiben
AT1;AT12;AT121;31520;31520;Loosdorf
AT1;AT12;AT121;31521;31521;Mank
AT1;AT12;AT121;31522;31522;Marbach an der Donau
AT1;AT12;AT121;31523;31523;Maria Taferl
AT1;AT12;AT121;31524;31524;Melk
AT1;AT12;AT121;31525;31525;Münichreith-Laimbach
AT1;AT12;AT121;31527;31527;Neumarkt an der Ybbs
AT1;AT12;AT121;31528;31528;Nöchling
AT1;AT12;AT121;31530;31530;Persenbeug-Gottsdorf
AT1;AT12;AT121;31531;31531;Petzenkirchen
AT1;AT12;AT121;31533;31533;Pöchlarn
AT1;AT12;AT121;31534;31534;Pöggstall
AT1;AT12;AT121;31535;31535;Raxendorf
AT1;AT12;AT121;31537;31537;Ruprechtshofen
AT1;AT12;AT121;31539;31539;St. Leonhard am Forst
AT1;AT12;AT121;31540;31540;St. Martin-Karlsbach
AT1;AT12;AT121;31541;31541;St. Oswald
AT1;AT12;AT121;31542;31542;Schönbühel-Aggsbach
AT1;AT12;AT121;31543;31543;Schollach
AT1;AT12;AT121;31546;31546;Weiten
AT1;AT12;AT121;31549;31549;Ybbs an der Donau
AT1;AT12;AT121;31550;31550;Zelking-Matzleinsdorf
AT1;AT12;AT121;31551;31551;Texingtal
AT1;AT12;AT121;31552;31552;Yspertal
AT1;AT12;AT121;31553;31553;Emmersdorf an der Donau
AT1;AT12;AT125;31601;31601;Altlichtenwarth
AT1;AT12;AT125;31603;31603;Asparn an der Zaya
AT1;AT12;AT125;31604;31604;Bernhardsthal
AT1;AT12;AT126;31605;31605;Bockfließ
AT1;AT12;AT125;31606;31606;Drasenhofen
AT1;AT12;AT125;31608;31608;Falkenstein
AT1;AT12;AT125;31609;31609;Fallbach
AT1;AT12;AT125;31611;31611;Gaubitsch
AT1;AT12;AT125;31612;31612;Gaweinstal
AT1;AT12;AT125;31613;31613;Gnadendorf
AT1;AT12;AT126;31614;31614;Großebersdorf
AT1;AT12;AT126;31615;31615;Großengersdorf
AT1;AT12;AT125;31616;31616;Großharras
AT1;AT12;AT125;31617;31617;Großkrut
AT1;AT12;AT125;31620;31620;Hausbrunn
AT1;AT12;AT125;31621;31621;Herrnbaumgarten
AT1;AT12;AT126;31622;31622;Hochleithen
AT1;AT12;AT126;31627;31627;Kreuttal
AT1;AT12;AT126;31628;31628;Kreuzstetten
AT1;AT12;AT125;31629;31629;Laa an der Thaya
AT1;AT12;AT125;31630;31630;Ladendorf
AT1;AT12;AT125;31633;31633;Mistelbach
AT1;AT12;AT125;31634;31634;Neudorf bei Staatz
AT1;AT12;AT125;31636;31636;Niederleis
AT1;AT12;AT126;31642;31642;Pillichsdorf
AT1;AT12;AT125;31644;31644;Poysdorf
AT1;AT12;AT125;31645;31645;Rabensburg
AT1;AT12;AT125;31646;31646;Schrattenberg
AT1;AT12;AT125;31649;31649;Staatz
AT1;AT12;AT125;31650;31650;Stronsdorf
AT1;AT12;AT126;31651;31651;Ulrichskirchen-Schleinbach
AT1;AT12;AT125;31652;31652;Unterstinkenbrunn
AT1;AT12;AT125;31653;31653;Wildendürnbach
AT1;AT12;AT125;31654;31654;Wilfersdorf
AT1;AT12;AT126;31655;31655;Wolkersdorf im Weinviertel
AT1;AT12;AT125;31658;31658;Ottenthal
AT1;AT12;AT127;31701;31701;Achau
AT1;AT12;AT127;31702;31702;Biedermannsdorf
AT1;AT12;AT127;31703;31703;Breitenfurt bei Wien
AT1;AT12;AT127;31704;31704;Brunn am Gebirge
AT1;AT12;AT127;31706;31706;Gaaden
AT1;AT12;AT127;31707;31707;Gießhübl
AT1;AT12;AT127;31709;31709;Gumpoldskirchen
AT1;AT12;AT127;31710;31710;Guntramsdorf
AT1;AT12;AT127;31711;31711;Hennersdorf
AT1;AT12;AT127;31712;31712;Hinterbrühl
AT1;AT12;AT127;31713;31713;Kaltenleutgeben
AT1;AT12;AT127;31714;31714;Laab im Walde
AT1;AT12;AT127;31715;31715;Laxenburg
AT1;AT12;AT127;31716;31716;Maria Enzersdorf
AT1;AT12;AT127;31717;31717;Mödling
AT1;AT12;AT127;31718;31718;Münchendorf
AT1;AT12;AT127;31719;31719;Perchtoldsdorf
AT1;AT12;AT127;31723;31723;Vösendorf
AT1;AT12;AT127;31725;31725;Wiener Neudorf
AT1;AT12;AT127;31726;31726;Wienerwald
AT1;AT12;AT122;31801;31801;Altendorf
AT1;AT12;AT122;31802;31802;Aspang-Markt
AT1;AT12;AT122;31803;31803;Aspangberg-St. Peter
AT1;AT12;AT122;31804;31804;Breitenau
AT1;AT12;AT122;31805;31805;Breitenstein
AT1;AT12;AT122;31806;31806;Buchbach
AT1;AT12;AT122;31807;31807;Edlitz
AT1;AT12;AT122;31808;31808;Enzenreith
AT1;AT12;AT122;31809;31809;Feistritz am Wechsel
AT1;AT12;AT122;31810;31810;Gloggnitz
AT1;AT12;AT122;31811;31811;Grafenbach-St. Valentin
AT1;AT12;AT122;31812;31812;Grimmenstein
AT1;AT12;AT122;31813;31813;Grünbach am Schneeberg
AT1;AT12;AT122;31814;31814;Kirchberg am Wechsel
AT1;AT12;AT122;31815;31815;Mönichkirchen
AT1;AT12;AT122;31817;31817;Natschbach-Loipersbach
AT1;AT12;AT122;31818;31818;Neunkirchen
AT1;AT12;AT122;31820;31820;Otterthal
AT1;AT12;AT122;31821;31821;Payerbach
AT1;AT12;AT122;31823;31823;Pitten
AT1;AT12;AT122;31825;31825;Prigglitz
AT1;AT12;AT122;31826;31826;Puchberg am Schneeberg
AT1;AT12;AT122;31827;31827;Raach am Hochgebirge
AT1;AT12;AT122;31829;31829;Reichenau an der Rax
AT1;AT12;AT122;31830;31830;St. Corona am Wechsel
AT1;AT12;AT122;31831;31831;St. Egyden am Steinfeld
AT1;AT12;AT122;31832;31832;Scheiblingkirchen-Thernberg
AT1;AT12;AT122;31833;31833;Schottwien
AT1;AT12;AT122;31834;31834;Schrattenbach
AT1;AT12;AT122;31835;31835;Schwarzau am Steinfeld
AT1;AT12;AT122;31836;31836;Schwarzau im Gebirge
AT1;AT12;AT122;31837;31837;Seebenstein
AT1;AT12;AT122;31838;31838;Semmering
AT1;AT12;AT122;31839;31839;Ternitz
AT1;AT12;AT122;31840;31840;Thomasberg
AT1;AT12;AT122;31841;31841;Trattenbach
AT1;AT12;AT122;31842;31842;Bürg-Vöstenhof
AT1;AT12;AT122;31843;31843;Warth
AT1;AT12;AT122;31844;31844;Wartmannstetten
AT1;AT12;AT122;31845;31845;Willendorf
AT1;AT12;AT122;31846;31846;Wimpassing im Schwarzatale
AT1;AT12;AT122;31847;31847;Würflach
AT1;AT12;AT122;31848;31848;Zöbern
AT1;AT12;AT122;31849;31849;Höflein an der Hohen Wand
AT1;AT12;AT123;31901;31901;Altlengbach
AT1;AT12;AT123;31902;31902;Asperhofen
AT1;AT12;AT123;31903;31903;Böheimkirchen
AT1;AT12;AT123;31904;31904;Brand-Laaben
AT1;AT12;AT123;31905;31905;Eichgraben
AT1;AT12;AT123;31906;31906;Frankenfels
AT1;AT12;AT123;31907;31907;Gerersdorf
AT1;AT12;AT123;31909;31909;Hofstetten-Grünau
AT1;AT12;AT123;31910;31910;Hafnerbach
AT1;AT12;AT123;31911;31911;Haunoldstein
AT1;AT12;AT123;31912;31912;Herzogenburg
AT1;AT12;AT123;31913;31913;Inzersdorf-Getzersdorf
AT1;AT12;AT123;31915;31915;Kapelln
AT1;AT12;AT123;31916;31916;Karlstetten
AT1;AT12;AT123;31917;31917;Kasten bei Böheimkirchen
AT1;AT12;AT123;31918;31918;Kirchberg an der Pielach
AT1;AT12;AT123;31919;31919;Kirchstetten
AT1;AT12;AT123;31920;31920;Loich
AT1;AT12;AT123;31921;31921;Maria Anzbach
AT1;AT12;AT123;31922;31922;Markersdorf-Haindorf
AT1;AT12;AT123;31923;31923;Michelbach
AT1;AT12;AT123;31925;31925;Neidling
AT1;AT12;AT123;31926;31926;Neulengbach
AT1;AT12;AT123;31927;31927;Neustift-Innermanzing
AT1;AT12;AT123;31928;31928;Nußdorf ob der Traisen
AT1;AT12;AT123;31929;31929;Ober-Grafendorf
AT1;AT12;AT123;31930;31930;Obritzberg-Rust
AT1;AT12;AT123;31932;31932;Prinzersdorf
AT1;AT12;AT123;31934;31934;Pyhra
AT1;AT12;AT123;31935;31935;Rabenstein an der Pielach
AT1;AT12;AT123;31938;31938;St. Margarethen an der Sierning
AT1;AT12;AT123;31939;31939;Schwarzenbach an der Pielach
AT1;AT12;AT123;31940;31940;Statzendorf
AT1;AT12;AT123;31941;31941;Stössing
AT1;AT12;AT123;31943;31943;Traismauer
AT1;AT12;AT123;31945;31945;Weinburg
AT1;AT12;AT123;31946;31946;Perschling
AT1;AT12;AT123;31947;31947;Wilhelmsburg
AT1;AT12;AT123;31948;31948;Wölbling
AT1;AT12;AT121;32001;32001;Gaming
AT1;AT12;AT121;32002;32002;Göstling an der Ybbs
AT1;AT12;AT121;32003;32003;Gresten
AT1;AT12;AT121;32004;32004;Gresten-Land
AT1;AT12;AT121;32005;32005;Lunz am See
AT1;AT12;AT121;32006;32006;Oberndorf an der Melk
AT1;AT12;AT121;32007;32007;Puchenstuben
AT1;AT12;AT121;32008;32008;Purgstall an der Erlauf
AT1;AT12;AT121;32009;32009;Randegg
AT1;AT12;AT121;32010;32010;Reinsberg
AT1;AT12;AT121;32011;32011;St. Anton an der Jeßnitz
AT1;AT12;AT121;32012;32012;St. Georgen an der Leys
AT1;AT12;AT121;32013;32013;Scheibbs
AT1;AT12;AT121;32014;32014;Steinakirchen am Forst
AT1;AT12;AT121;32015;32015;Wang
AT1;AT12;AT121;32016;32016;Wieselburg
AT1;AT12;AT121;32017;32017;Wieselburg-Land
AT1;AT12;AT121;32018;32018;Wolfpassing
AT1;AT12;AT126;32101;32101;Absdorf
AT1;AT12;AT126;32104;32104;Atzenbrugg
AT1;AT12;AT126;32106;32106;Fels am Wagram
AT1;AT12;AT126;32107;32107;Grafenwörth
AT1;AT12;AT126;32109;32109;Großriedenthal
AT1;AT12;AT126;32110;32110;Großweikersdorf
AT1;AT12;AT126;32112;32112;Judenau-Baumgarten
AT1;AT12;AT126;32114;32114;Kirchberg am Wagram
AT1;AT12;AT126;32115;32115;Königsbrunn am Wagram
AT1;AT12;AT126;32116;32116;Königstetten
AT1;AT12;AT126;32119;32119;Langenrohr
AT1;AT12;AT126;32120;32120;Michelhausen
AT1;AT12;AT126;32131;32131;Sieghartskirchen
AT1;AT12;AT126;32132;32132;Sitzenberg-Reidling
AT1;AT12;AT126;32134;32134;Tulbing
AT1;AT12;AT126;32135;32135;Tulln an der Donau
AT1;AT12;AT126;32139;32139;Würmla
AT1;AT12;AT126;32140;32140;Zeiselmauer-Wolfpassing
AT1;AT12;AT126;32141;32141;Zwentendorf an der Donau
AT1;AT12;AT126;32142;32142;St. Andrä-Wördern
AT1;AT12;AT126;32143;32143;Muckendorf-Wipfing
AT1;AT12;AT124;32202;32202;Dietmanns
AT1;AT12;AT124;32203;32203;Dobersberg
AT1;AT12;AT124;32206;32206;Gastern
AT1;AT12;AT124;32207;32207;Groß-Siegharts
AT1;AT12;AT124;32209;32209;Karlstein an der Thaya
AT1;AT12;AT124;32210;32210;Kautzen
AT1;AT12;AT124;32212;32212;Ludweis-Aigen
AT1;AT12;AT124;32214;32214;Pfaffenschlag bei Waidhofen an der Thaya
AT1;AT12;AT124;32216;32216;Raabs an der Thaya
AT1;AT12;AT124;32217;32217;Thaya
AT1;AT12;AT124;32219;32219;Vitis
AT1;AT12;AT124;32220;32220;Waidhofen an der Thaya
AT1;AT12;AT124;32221;32221;Waidhofen an der Thaya-Land
AT1;AT12;AT124;32222;32222;Waldkirchen an der Thaya
AT1;AT12;AT124;32223;32223;Windigsteig
AT1;AT12;AT122;32301;32301;Bad Fischau-Brunn
AT1;AT12;AT122;32302;32302;Bad Schönau
AT1;AT12;AT122;32304;32304;Ebenfurth
AT1;AT12;AT122;32305;32305;Eggendorf
AT1;AT12;AT122;32306;32306;Bad Erlach
AT1;AT12;AT122;32307;32307;Felixdorf
AT1;AT12;AT122;32308;32308;Gutenstein
AT1;AT12;AT122;32309;32309;Hochneukirchen-Gschaidt
AT1;AT12;AT122;32310;32310;Hochwolkersdorf
AT1;AT12;AT122;32311;32311;Hohe Wand
AT1;AT12;AT122;32312;32312;Hollenthon
AT1;AT12;AT122;32313;32313;Katzelsdorf
AT1;AT12;AT122;32314;32314;Kirchschlag in der Buckligen Welt
AT1;AT12;AT122;32315;32315;Krumbach
AT1;AT12;AT122;32316;32316;Lanzenkirchen
AT1;AT12;AT122;32317;32317;Lichtenegg
AT1;AT12;AT122;32318;32318;Lichtenwörth
AT1;AT12;AT122;32319;32319;Markt Piesting
AT1;AT12;AT122;32320;32320;Matzendorf-Hölles
AT1;AT12;AT122;32321;32321;Miesenbach
AT1;AT12;AT122;32322;32322;Muggendorf
