X;Y;MEAN_X;MEAN_Y;GKZ
14.1561609318146;48.4621885130291;460899.578516208915971;507332.706660695315804;"41337"
14.0642705912613;48.4829864996611;454083.681661934999283;509577.203166855149902;"41336"
13.992243835312;48.6514895832256;448602.027036492363550;528263.890575009747408;"41343"
13.9136367570095;48.6818308003504;442786.053469533158932;531591.442824258236215;"41342"
13.8266447258211;48.7244757484987;436351.235386762011331;536289.080348095507361;"41341"
14.1117671445404;48.572597664053;457494.645154398342129;519573.770874587818980;"41346"
14.1513635427553;48.5372544563254;460457.306225906242616;515674.336630518606398;"41345"
13.9940097151333;48.5770756741993;448802.169934595178347;519991.487218404829036;"41344"
14.8234658464101;46.9593193135007;513433.278696699242573;341049.478790660854429;"20901"
14.9114857574113;46.8658179956725;520340.249857152928598;330792.037202415580396;"20905"
14.9424614414846;46.9494383727488;522508.784237313317135;340131.806680232577492;"20911"
14.9647309314241;46.6617805936719;524873.294784645549953;308204.245847328857053;"20909"
14.9329128799876;46.7235686368687;522298.071617574023549;315019.334573061438277;"20914"
14.8249759648693;46.7625216626309;513967.231132742250338;319183.939055076451041;"20913"
14.7310068269561;46.9994179064074;506319.109035705390852;345374.769893609685823;"20912"
14.8518474130224;46.699873133143;516154.924046384403482;312262.257314084563404;"20918"
14.8203872292132;46.8522548077443;513426.346633045759518;329148.214767701399978;"20923"
13.4823929117086;48.4786633662049;411077.416860459954478;508854.559715040377341;"41403"
13.5655050498325;48.357430067016;417260.719867054081988;495391.279086457623634;"41402"
13.6793833618348;48.3217863141434;425715.640174674219452;491459.831610231951345;"41401"
13.7086504439635;48.5005796439169;427790.262649576237891;511347.006972588715144;"41407"
13.4770579663753;48.35298136518;410708.414653751300648;494881.088304758595768;"41406"
13.6290850694158;48.2665620041681;422009.554398371488787;485305.339103735866956;"41405"
13.5898253733613;48.4194008057179;419040.155575382872485;502286.389388949726708;"41404"
13.662615583121;48.4410573966953;424416.718719858152326;504714.179487344925292;"41411"
13.5202307107551;48.583329501053;413846.749247549101710;520497.419360488827806;"41410"
13.590732620346;48.5620766397944;419055.312075574474875;518149.140968710475136;"41409"
13.6508954330591;48.3926384527919;423571.567253663903102;499327.641802670725156;"41408"
13.5307605938145;48.4592697329758;414658.078590921184514;506706.260430181864649;"41415"
13.6496920940608;48.3501657354098;423501.527311288460623;494605.486863524653018;"41414"
13.5763001026775;48.4778479692524;418019.158155333832838;508781.169130327936728;"41413"
13.5138158092246;48.3389220559052;413435.679899692826439;493323.675005721859634;"41412"
13.4212792658587;48.3834326189211;406571.597114674106706;498260.434008534299210;"41419"
13.4461120939563;48.433954419683;408402.633052020450123;503879.508229838975240;"41418"
13.7309462420953;48.4658407875831;429457.242211416014470;507492.960375437629409;"41417"
13.6384788770816;48.2994851497098;422692.533344046620186;488968.020254234841559;"41416"
13.4516433321959;48.5432386989207;408793.779589831421617;516030.238525209599175;"41423"
13.4323436955435;48.4638609478184;407379.894664934254251;507203.078149250533897;"41422"
13.7001510631541;48.3547712363942;427238.223213892837521;495133.790384584863205;"41421"
13.6275564107317;48.4873578807424;421804.021532115875743;509851.425939996319357;"41420"
13.6598951108415;48.5396090510688;424169.822068977169693;515670.154754431336187;"41427"
